City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Narasannapeta,IN,79.97,overcast clouds,18.4167,84.05,AVK events and catering
1,Auki,SB,76.98,clear sky,-8.7676,160.7034,Auki Motel
6,Kahului,US,79.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
7,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
9,Wukari,NG,84.65,overcast clouds,7.85,9.7833,Elimtop
10,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
15,Biankouma,CI,78.76,moderate rain,7.7391,-7.6138,NIMBO SAMA
17,Rikitea,PF,73.36,light rain,-23.1203,-134.9692,People ThankYou
20,Daokou,CN,74.39,moderate rain,35.5639,114.5058,Shangri-La Hotel
21,Mpongwe,ZM,88.11,broken clouds,-13.5091,28.155,Casablanca guest house and bar
27,Victoria,HK,79.32,overcast clouds,22.2855,114.1577,Mini Central
30,Celestun,MX,81.18,overcast clouds,20.8667,-90.4,Posada Lilia
32,Kapaa,US,74.1,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
34,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
35,Sinnamary,GF,86.36,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
37,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
38,Katsuura,JP,72.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
39,Atuona,PF,76.24,broken clouds,-9.8,-139.0333,Villa Enata
41,Honiara,SB,76.86,few clouds,-9.4333,159.95,Heritage Park Hotel
46,Kavaratti,IN,81.64,overcast clouds,10.5669,72.642,Green leaf
51,Marsaxlokk,MT,80.08,few clouds,35.8419,14.5431,Water's Edge
52,Havelock,US,71.55,heavy intensity rain,34.8791,-76.9013,Sherwood Motel
54,Namibe,AO,77.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
55,Sur,OM,82.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
58,Tabuk,PH,74.55,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
61,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,Le four à pain
64,Carnarvon,AU,70.93,clear sky,-24.8667,113.6333,Hospitality Carnarvon
68,Hasaki,JP,70.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
69,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
74,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
82,Guerrero Negro,MX,71.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
