City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narasannapeta,IN,18.4167,84.05,79.97,86,100,8.14,overcast clouds
1,Auki,SB,-8.7676,160.7034,76.98,88,6,3.31,clear sky
2,Brookhaven,US,31.5791,-90.4407,64.8,49,0,7.67,clear sky
3,Hermanus,ZA,-34.4187,19.2345,63.81,71,100,15.03,overcast clouds
4,Qinhuangdao,CN,39.9317,119.5883,68.2,83,0,5.86,clear sky
5,Kolpny,RU,52.2282,37.0368,60.84,89,52,5.61,broken clouds
6,Kahului,US,20.8947,-156.47,79.84,74,100,5.99,overcast clouds
7,Ribeira Grande,PT,38.5167,-28.7,73.8,56,75,4.61,broken clouds
8,Kodiak,US,57.79,-152.4072,35.11,93,40,6.91,mist
9,Wukari,NG,7.85,9.7833,84.65,66,98,2.75,overcast clouds
10,Nishihara,JP,26.1842,127.7558,80.65,83,75,2.3,broken clouds
11,Ruteng,ID,-8.6136,120.4721,63.79,89,94,1.43,overcast clouds
12,Barrow,US,71.2906,-156.7887,30.22,86,100,11.5,overcast clouds
13,Dikson,RU,73.5069,80.5464,35.17,85,100,18.1,overcast clouds
14,Kaitangata,NZ,-46.2817,169.8464,35.08,92,10,3.06,clear sky
15,Biankouma,CI,7.7391,-7.6138,78.76,80,38,1.92,moderate rain
16,Vadso,NO,70.0744,29.7487,38.28,75,20,5.75,few clouds
17,Rikitea,PF,-23.1203,-134.9692,73.36,77,99,9.57,light rain
18,Hobart,AU,-42.8794,147.3294,43.05,85,0,10.36,clear sky
19,Broken Hill,AU,-31.95,141.4333,58.73,53,18,7.49,few clouds
20,Daokou,CN,35.5639,114.5058,74.39,63,99,11.88,moderate rain
21,Mpongwe,ZM,-13.5091,28.155,88.11,12,70,8.12,broken clouds
22,Vardo,NO,70.3705,31.1107,42.78,75,40,13.8,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,46.06,46,0,6.91,clear sky
24,Cidreira,BR,-30.1811,-50.2056,62.64,78,100,14.99,overcast clouds
25,Taicheng,CN,38.731,113.228,62.8,47,90,5.08,overcast clouds
26,Nanortalik,GL,60.1432,-45.2371,39.27,77,52,15.19,broken clouds
27,Victoria,HK,22.2855,114.1577,79.32,93,99,10.0,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,69.76,99,98,1.99,overcast clouds
29,Rocha,UY,-34.4833,-54.3333,64.13,54,95,7.58,overcast clouds
30,Celestun,MX,20.8667,-90.4,81.18,58,100,10.45,overcast clouds
31,Albany,US,42.6001,-73.9662,51.64,78,100,2.53,overcast clouds
32,Kapaa,US,22.0752,-159.319,74.1,90,75,4.61,broken clouds
33,Pochutla,MX,15.7432,-96.4661,81.82,74,97,3.02,overcast clouds
34,Hilo,US,19.7297,-155.09,76.28,94,75,6.91,light rain
35,Sinnamary,GF,5.3833,-52.95,86.36,61,14,11.74,few clouds
36,Busselton,AU,-33.65,115.3333,56.57,74,0,9.08,clear sky
37,Cairns,AU,-16.9167,145.7667,75.15,73,75,3.44,broken clouds
38,Katsuura,JP,35.1333,140.3,72.19,85,48,11.39,scattered clouds
39,Atuona,PF,-9.8,-139.0333,76.24,65,54,14.14,broken clouds
40,Mackay,AU,-21.15,149.2,58.68,64,0,3.24,clear sky
41,Honiara,SB,-9.4333,159.95,76.86,89,16,5.37,few clouds
42,Oranjemund,NA,-28.55,16.4333,61.34,69,79,17.13,broken clouds
43,Mataura,NZ,-46.1927,168.8643,31.32,98,8,1.32,clear sky
44,Thompson,CA,55.7435,-97.8558,32.16,86,40,5.75,scattered clouds
45,Punta Arenas,CL,-53.15,-70.9167,44.71,53,0,29.93,clear sky
46,Kavaratti,IN,10.5669,72.642,81.64,75,96,11.41,overcast clouds
47,Provideniya,RU,64.3833,-173.3,33.69,76,23,8.08,few clouds
48,Airai,TL,-8.9266,125.4092,62.64,91,100,0.31,overcast clouds
49,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,75,9.22,broken clouds
50,Spassk,RU,52.747,87.7545,28.13,90,100,4.88,overcast clouds
51,Marsaxlokk,MT,35.8419,14.5431,80.08,89,20,14.97,few clouds
52,Havelock,US,34.8791,-76.9013,71.55,91,100,23.02,heavy intensity rain
53,New Norfolk,AU,-42.7826,147.0587,42.71,65,0,2.68,clear sky
54,Namibe,AO,-15.1961,12.1522,77.63,69,0,12.66,clear sky
55,Sur,OM,22.5667,59.5289,82.8,71,0,10.85,clear sky
56,Sungaipenuh,ID,-2.0833,101.3833,65.59,97,81,1.16,broken clouds
57,Bethel,US,41.3712,-73.414,56.16,77,100,5.61,overcast clouds
58,Tabuk,PH,17.4189,121.4443,74.55,90,14,2.57,few clouds
59,Ayan,RU,56.45,138.1667,36.18,58,0,13.04,clear sky
60,Kamsack,CA,51.5667,-101.9009,55.67,78,100,12.01,overcast clouds
61,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,32,10.67,scattered clouds
62,Constitucion,CL,-35.3333,-72.4167,60.31,74,82,4.16,broken clouds
63,Dundee,GB,56.5,-2.9667,59.52,84,40,19.57,scattered clouds
64,Carnarvon,AU,-24.8667,113.6333,70.93,63,0,18.84,clear sky
65,Cherskiy,RU,68.75,161.3,29.7,54,100,4.14,overcast clouds
66,Berlevag,NO,70.8578,29.0864,41.0,65,0,6.91,clear sky
67,Jamestown,US,42.097,-79.2353,52.02,86,0,4.61,clear sky
68,Hasaki,JP,35.7333,140.8333,70.29,79,30,10.98,scattered clouds
69,Mahebourg,MU,-20.4081,57.7,71.89,73,40,6.91,scattered clouds
70,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,6.91,scattered clouds
71,Nikolskoye,RU,59.7035,30.7861,48.79,91,90,5.82,overcast clouds
72,Port Lincoln,AU,-34.7333,135.8667,53.19,86,0,12.24,clear sky
73,Bluff,NZ,-46.6,168.3333,39.63,76,5,2.3,clear sky
74,East London,ZA,-33.0153,27.9116,70.74,83,0,5.75,clear sky
75,Korla,CN,41.7597,86.1469,66.38,31,46,14.47,scattered clouds
76,Pacific Grove,US,36.6177,-121.9166,57.65,99,20,0.0,few clouds
77,Baruun-Urt,MN,46.6806,113.2792,46.38,55,67,7.52,broken clouds
78,Clyde River,CA,70.4692,-68.5914,28.63,86,75,20.71,light snow
79,Ossora,RU,59.2353,163.0719,38.82,96,100,11.12,light rain
80,Mar Del Plata,AR,-38.0023,-57.5575,62.62,74,0,8.05,clear sky
81,Severo-Kurilsk,RU,50.6789,156.125,47.39,88,99,12.3,light rain
82,Guerrero Negro,MX,27.9769,-114.0611,71.6,82,3,8.52,clear sky
83,Bredasdorp,ZA,-34.5322,20.0403,63.63,59,100,20.13,overcast clouds
